"","fa_UF","fa_ATR","fa_CH","fa_CG","fa_IFOF","fa_ILF","fa_SLF","fa_CST","fa_SLFT","fa_FMin","fa_FMaj","Age","gf_MatrixReasoning","PS_PhAB","WM_DigitRecall","WM_DotMatrix","WM_BackwardDigit","WM_MrX","PS_Teach","PS_DKEFS","PS_Teach_il","PS_DKEFS_il","PS_PhAB_il"
"fa_UF",0.000737338325397994,0.000250000214855283,0.000626040522912902,0.000592035408472471,0.000303104497239709,0.000361973567094895,0.000280905337314945,0.000245921875924628,0.000329199149359814,0.000286342049759664,0.000358523584008311,0.0177769928741555,0.0297116412628725,-0.294045458234983,0.0408791818785481,0.0327578493448655,0.032462638599609,0.0257662997923841,-3.56667408890588,-0.0653741571553886,0.0021849934143446,0.00171046734799313,0.00238026285513612
"fa_ATR",0.000250000214855283,0.000293010566060143,0.000329625370708998,0.00042060926653274,0.000230660713189416,0.000232629303300104,0.000232400216169115,0.000208063840440427,0.000186113255112181,0.000258669842926606,0.00025936992623279,0.0145583510583263,0.0243043337955123,-0.186691434183676,0.0184357621194225,0.0217102303840736,0.0162659345489457,0.0183036775250701,-2.18231971829216,-0.0250019095926184,0.00124555365117997,0.000743025472388545,0.00158988389959579
"fa_CH",0.000626040522912902,0.000329625370708998,0.00188921985040078,0.000855456165756784,0.000376941870987482,0.000640313901454652,0.000372927991721722,0.00033062880703787,0.000487952517660762,0.0004125615786041,0.000515808405155044,0.00980207421677927,0.01478670905934,-0.215764525109418,0.0352421437629632,0.0224115989665616,0.0209109112278931,0.0109140850056921,-4.6893150659492,-0.0679837106204652,0.00239875454523879,0.0017360126524248,0.00180546457350793
"fa_CG",0.000592035408472471,0.00042060926653274,0.000855456165756784,0.00146864283031114,0.000438204921137722,0.000551588186024774,0.000419195223401662,0.000379724852991799,0.000406990467345211,0.000430913146239846,0.000508587948219624,0.0302415510508853,0.0643038812078073,-0.425155225106444,0.0582272678691998,0.0589476031391124,0.0491088347281884,0.0427985500749348,-3.35298548066248,-0.102604579266369,0.00172665505755215,0.00268433254541277,0.00350681217899435
"fa_IFOF",0.000303104497239709,0.000230660713189416,0.000376941870987482,0.000438204921137722,0.000307662452970083,0.000277267934330516,0.000240074021161712,0.000205703507521072,0.000240055386752322,0.000250531402615581,0.000268529343344785,0.0142870803057837,0.0227960109761129,-0.203608370288088,0.0217944255761442,0.0196096657122571,0.0177185766212539,0.0154875690785266,-2.6422619368983,-0.0440670351036677,0.00146832690982925,0.00113212983664661,0.00169048452997055
"fa_ILF",0.000361973567094895,0.000232629303300104,0.000640313901454652,0.000551588186024774,0.000277267934330516,0.000487561730876394,0.000254954715702628,0.000259194698274032,0.000268856581410581,0.000272104591490394,0.00033125460630748,0.01328087660301,0.0215512996157647,-0.190399354338992,0.0260327667268982,0.0239483866993615,0.0186507757549084,0.0158965087586883,-2.06716848040359,-0.0559323149729995,0.00124812447899852,0.00150926568754197,0.00162930225597105
"fa_SLF",0.000280905337314945,0.000232400216169115,0.000372927991721722,0.000419195223401662,0.000240074021161712,0.000254954715702628,0.000347533774826516,0.000233093363732156,0.000381817302926772,0.000256153116140961,0.00029354066182362,0.015547359695662,0.0248901363236925,-0.178971058897545,0.0255856924321663,0.0242002730874377,0.0182343164053655,0.0183918059192889,-2.55693465175183,-0.0242805511776604,0.00141350562909604,0.000774615519904244,0.00154822537771386
"fa_CST",0.000245921875924628,0.000208063840440427,0.00033062880703787,0.000379724852991799,0.000205703507521072,0.000259194698274032,0.000233093363732156,0.00039385488636701,0.000312095628418681,0.000231502932904581,0.000263942081059386,0.0120284294453355,0.0206715119477364,-0.134297600452811,0.0143737950708183,0.0131019575255882,0.0131865622833278,0.00620430935816037,-2.02576088655268,-0.00269862689135946,0.00121337708973621,0.000304345453439996,0.00115132993355173
"fa_SLFT",0.000329199149359814,0.000186113255112181,0.000487952517660762,0.000406990467345211,0.000240055386752322,0.000268856581410581,0.000381817302926772,0.000312095628418681,0.0011090744336379,0.000246503975953364,0.000341367613869772,0.0125858386663075,0.0114481011040983,-0.167817217638499,0.0301522598071985,0.011218869785316,0.0111205258788385,0.00559527010601551,-2.90244028636369,-0.000150201660037914,0.0015881382819075,0.000196306927668044,0.00146741895341604
"fa_FMin",0.000286342049759664,0.000258669842926606,0.0004125615786041,0.000430913146239846,0.000250531402615581,0.000272104591490394,0.000256153116140961,0.000231502932904581,0.000246503975953364,0.000331861045398088,0.000328440352321707,0.0122451803327696,0.0202898031404356,-0.180166264689493,0.0159700968392806,0.0185345447445966,0.0151487669688269,0.0142323740426068,-2.2798453015548,-0.0193345119143475,0.00132975311464182,0.000574223624447894,0.00147575196896658
"fa_FMaj",0.000358523584008311,0.00025936992623279,0.000515808405155044,0.000508587948219624,0.000268529343344785,0.00033125460630748,0.00029354066182362,0.000263942081059386,0.000341367613869772,0.000328440352321707,0.000656746285735707,0.0184915262170706,0.0337217953451939,-0.260973329480393,0.0324167238771523,0.0352650552188055,0.0276769450743178,0.0267795244374757,-3.27578521003915,-0.0366654786602838,0.00178300860853794,0.00110257029024226,0.00200803418309374
"Age",0.0177769928741555,0.0145583510583263,0.00980207421677927,0.0302415510508853,0.0142870803057837,0.01328087660301,0.015547359695662,0.0120284294453355,0.0125858386663075,0.0122451803327696,0.0184915262170706,4.98166098370273,7.06217098388605,-53.04616399934,5.02586591871528,6.79321234119782,5.75588351757136,5.47591541549799,-255.531413435627,-1.27971566848155,0.152983457355728,0.0428134886081221,0.431935714609496
"gf_MatrixReasoning",0.0297116412628725,0.0243043337955123,0.01478670905934,0.0643038812078073,0.0227960109761129,0.0215512996157647,0.0248901363236925,0.0206715119477364,0.0114481011040983,0.0202898031404356,0.0337217953451939,7.06217098388605,29.5870054446461,-91.5485959412638,12.8081273717208,16.2722620029698,13.9345421547599,13.6343507672001,-415.51541092229,-11.8495429797063,0.213563250704844,0.294536238102344,0.735843127691384
"PS_PhAB",-0.294045458234983,-0.186691434183676,-0.215764525109418,-0.425155225106444,-0.203608370288088,-0.190399354338992,-0.178971058897545,-0.134297600452811,-0.167817217638499,-0.180166264689493,-0.260973329480393,-53.04616399934,-91.5485959412638,1868.96433591817,-78.8140405873618,-104.500148490348,-94.3713743606666,-81.5056327338723,3861.10558722983,49.9889853159545,-2.34726833771695,-1.3634124545104,-13.3724017640649
"WM_DigitRecall",0.0408791818785481,0.0184357621194225,0.0352421437629632,0.0582272678691998,0.0217944255761442,0.0260327667268982,0.0255856924321663,0.0143737950708183,0.0301522598071985,0.0159700968392806,0.0324167238771523,5.02586591871528,12.8081273717208,-78.8140405873618,28.242362646428,13.8373799703019,14.0073057251279,10.5783105098169,-285.555927140736,-4.85729747566408,0.100833341086526,0.164502161161892,0.609868184436716
"WM_DotMatrix",0.0327578493448655,0.0217102303840736,0.0224115989665616,0.0589476031391124,0.0196096657122571,0.0239483866993615,0.0242002730874377,0.0131019575255882,0.011218869785316,0.0185345447445966,0.0352650552188055,6.79321234119782,16.2722620029698,-104.500148490348,13.8373799703019,30.0959577627454,14.8321828081175,14.6042402243854,-394.624074905131,-12.1636825606336,0.257451003046497,0.336815594418841,0.838538637454724
"WM_BackwardDigit",0.032462638599609,0.0162659345489457,0.0209109112278931,0.0491088347281884,0.0177185766212539,0.0186507757549084,0.0182343164053655,0.0131865622833278,0.0111205258788385,0.0151487669688269,0.0276769450743178,5.75588351757136,13.9345421547599,-94.3713743606666,14.0073057251279,14.8321828081175,19.6510212836166,12.1920739151955,-389.037537733047,-7.95553868998515,0.20728743661239,0.21704856347792,0.741239581520346
"WM_MrX",0.0257662997923841,0.0183036775250701,0.0109140850056921,0.0427985500749348,0.0154875690785266,0.0158965087586883,0.0183918059192889,0.00620430935816037,0.00559527010601551,0.0142323740426068,0.0267795244374757,5.47591541549799,13.6343507672001,-81.5056327338723,10.5783105098169,14.6042402243854,12.1920739151955,23.9541791783534,-463.406526249794,-3.83496452730573,0.266338622395929,0.126367743040176,0.63882120040267
"PS_Teach",-3.56667408890588,-2.18231971829216,-4.6893150659492,-3.35298548066248,-2.6422619368983,-2.06716848040359,-2.55693465175183,-2.02576088655268,-2.90244028636369,-2.2798453015548,-3.27578521003915,-255.531413435627,-415.51541092229,3861.10558722983,-285.555927140736,-394.624074905131,-389.037537733047,-463.406526249794,385500.468813195,-152.815669427487,-169.032766292882,0.730563073684113,-34.4428673562146
"PS_DKEFS",-0.0653741571553886,-0.0250019095926184,-0.0679837106204652,-0.102604579266369,-0.0440670351036677,-0.0559323149729995,-0.0242805511776604,-0.00269862689135946,-0.000150201660037914,-0.0193345119143475,-0.0366654786602838,-1.27971566848155,-11.8495429797063,49.9889853159545,-4.85729747566408,-12.1636825606336,-7.95553868998515,-3.83496452730573,-152.815669427487,298.563926744762,-0.0255999296073978,-6.7014578375301,-0.53927290166089
"PS_Teach_il",0.0021849934143446,0.00124555365117997,0.00239875454523879,0.00172665505755215,0.00146832690982925,0.00124812447899852,0.00141350562909604,0.00121337708973621,0.0015881382819075,0.00132975311464182,0.00178300860853794,0.152983457355728,0.213563250704844,-2.34726833771695,0.100833341086526,0.257451003046497,0.20728743661239,0.266338622395929,-169.032766292882,-0.0255999296073978,0.0934776967640826,0.00217045150647037,0.021083336107025
"PS_DKEFS_il",0.00171046734799313,0.000743025472388545,0.0017360126524248,0.00268433254541277,0.00113212983664661,0.00150926568754197,0.000774615519904244,0.000304345453439996,0.000196306927668044,0.000574223624447894,0.00110257029024226,0.0428134886081221,0.294536238102344,-1.3634124545104,0.164502161161892,0.336815594418841,0.21704856347792,0.126367743040176,0.730563073684113,-6.7014578375301,0.00217045150647037,0.162077396254816,0.0142497102043983
"PS_PhAB_il",0.00238026285513612,0.00158988389959579,0.00180546457350793,0.00350681217899435,0.00169048452997055,0.00162930225597105,0.00154822537771386,0.00115132993355173,0.00146741895341604,0.00147575196896658,0.00200803418309374,0.431935714609496,0.735843127691384,-13.3724017640649,0.609868184436716,0.838538637454724,0.741239581520346,0.63882120040267,-34.4428673562146,-0.53927290166089,0.021083336107025,0.0142497102043983,0.100993469360574
