"","age.start","ds_f","ds_b","dkefs_rt","wasi_block","wasi_matrix","wasi_sim","penn_nback","penn_mspeed","penn_verbal","penn_smspeed","fa_UF","fa_ATR","fa_CH","fa_CG","fa_IFOF","fa_ILF","fa_SLF","fa_CST","fa_SLFT","fa_FMin","fa_FMaj"
"age.start",10.1930130403622,1.65613757151408,2.13134377329983,0.871761252080526,32.2781036169328,9.28403446633626,16.2892263316344,6.69765388462491,35.7847008534064,6.97533658914023,0.626371647451589,0.0222365707565977,0.00838342179541984,0.0100464150616549,0.0271586270130372,0.0046098466642902,0.00627806583491876,0.0151320285451858,0.00388603571760742,0.023185475623603,0.0245130439073701,0.00151806686753996
"ds_f",1.65613757151408,1.59179551345071,0.653945839663956,0.228850449089357,8.2971311109125,2.73037804987041,4.02915363303244,1.64146036285638,7.17212169407454,1.52722316560908,0.146389041130958,0.0116270071522052,0.0077676785292798,0.00706178761812937,0.0135026439427675,0.00629384740993868,0.00697565303265153,0.00771476126130796,0.00854646259378115,0.0120762165917314,0.0112071298656875,0.00690530936422565
"ds_b",2.13134377329983,0.653945839663956,1.78720171597104,0.269266051616363,10.3158459201001,2.98869425328448,4.37952453302351,2.19800697113236,10.3053574872643,2.02229868620967,0.175344028158624,0.0091861105667935,0.00773247498726157,0.008341567378443,0.0134340825161268,0.00685484746588424,0.00683141564126881,0.00788812715459406,0.00845391634096504,0.00998880957576381,0.0121713029265373,0.00726650036556278
"dkefs_rt",0.871761252080526,0.228850449089357,0.269266051616363,0.248791764893075,4.33663694596462,1.33877730964008,1.90438146829757,0.910487876813322,4.12490687334737,0.774145476931092,0.0827656490888903,0.00445614238326139,0.00288062855852525,0.00347208686929956,0.00394299717086828,0.00301957729215117,0.00307324312401944,0.00313881048346282,0.00257800278401177,0.00414687470151317,0.00470946933148439,0.00268249608677055
"wasi_block",32.2781036169328,8.2971311109125,10.3158459201001,4.33663694596462,277.813620520154,59.6937796049692,73.3113057467155,32.380579140227,127.603285733756,37.0558226829922,2.40251318901594,0.126814354173425,0.068410024734108,0.0437187043569708,0.153892946500127,0.0361950771639212,0.0640700139929082,0.0918833524517034,0.0588922181113476,0.141751066328146,0.135173633940021,0.0136695723033515
"wasi_matrix",9.28403446633626,2.73037804987041,2.98869425328448,1.33877730964008,59.6937796049692,26.9961926892484,21.9883725087139,11.6592724997766,39.2414040950934,12.2780141210117,0.801779331799283,0.0469833040755048,0.0241991210565171,0.0215055618070393,0.0511706704215314,0.0178166498407434,0.026019393596246,0.0343731236942974,0.0300434328788459,0.0593339287363771,0.0407702773177737,0.0149551972752895
"wasi_sim",16.2892263316344,4.02915363303244,4.37952453302351,1.90438146829757,73.3113057467155,21.9883725087139,45.3629814996872,13.5707480561266,61.462971294575,15.5947090892841,1.15526923782951,0.0462048637222787,0.0200200960847463,0.0114358716437152,0.0388297977800047,0.0132608749045715,0.0236314983059851,0.032158513353475,0.016706996044204,0.0577056140549765,0.048059408747511,0.00553591837552904
"penn_nback",6.69765388462491,1.64146036285638,2.19800697113236,0.910487876813322,32.380579140227,11.6592724997766,13.5707480561266,19.8346054160336,29.4385755947806,6.64968272410403,0.623764562610982,0.0165177568465361,0.00439372640579444,0.00867040615169182,0.0183657784058145,0.00251119450891945,0.000933897641777214,0.0127362336613948,-0.00255070962564963,0.0168025682581856,0.0131394681407059,0.00163021519973548
"penn_mspeed",35.7847008534064,7.17212169407454,10.3053574872643,4.12490687334737,127.603285733756,39.2414040950934,61.462971294575,29.4385755947806,304.965566192037,30.1832096572527,3.0967554455161,0.15842340954479,0.0919172001987273,0.0678437992226051,0.161836683233513,0.0618224295608372,0.0852067074348266,0.101102632739549,0.101859449280148,0.220770331051065,0.154356366215797,0.0783748558970836
"penn_verbal",6.97533658914023,1.52722316560908,2.02229868620967,0.774145476931092,37.0558226829922,12.2780141210117,15.5947090892841,6.64968272410403,30.1832096572527,12.0985432120833,0.520855506990324,0.0237257587900372,0.0122547959501952,0.0109081816671594,0.0282590549907773,0.00775426819424966,0.0131400159754365,0.0194149284056775,0.0110442835745511,0.0299132207335291,0.0264514912142564,0.00526330864593706
"penn_smspeed",0.626371647451589,0.146389041130958,0.175344028158624,0.0827656490888903,2.40251318901594,0.801779331799283,1.15526923782951,0.623764562610982,3.0967554455161,0.520855506990324,0.0739546501360944,0.00275684421278319,0.000952713095547438,0.000889873822902512,0.00244307516687916,0.000766995985251335,0.00108309994572671,0.00163581207240413,0.000747804425547038,0.00304076736452858,0.00234055771676462,0.000712697105217772
"fa_UF",0.0222365707565977,0.0116270071522052,0.0091861105667935,0.00445614238326139,0.126814354173425,0.0469833040755048,0.0462048637222787,0.0165177568465361,0.15842340954479,0.0237257587900372,0.00275684421278319,0.00243954754092123,0.00137338756344862,0.0016817974431687,0.00248014774023239,0.00134040792451251,0.00133804326796461,0.00116561539838988,0.00170738401996047,0.00165959553990945,0.00155001896177901,0.0015044583768443
"fa_ATR",0.00838342179541984,0.0077676785292798,0.00773247498726157,0.00288062855852525,0.068410024734108,0.0241991210565171,0.0200200960847463,0.00439372640579444,0.0919172001987273,0.0122547959501952,0.000952713095547438,0.00137338756344862,0.00144292628244781,0.00160164201602908,0.001816742061176,0.00135729134424497,0.00132108725122149,0.00105677748006764,0.00170064513294871,0.00121025262592961,0.00124830467987618,0.00151497044616531
"fa_CH",0.0100464150616549,0.00706178761812937,0.008341567378443,0.00347208686929956,0.0437187043569708,0.0215055618070393,0.0114358716437152,0.00867040615169182,0.0678437992226051,0.0109081816671594,0.000889873822902512,0.0016817974431687,0.00160164201602908,0.00280260950801311,0.00250875469045417,0.00157568189615293,0.00166521028971551,0.00131758221617624,0.00210738583328102,0.00149512035191266,0.0015728584353601,0.00176536564046399
"fa_CG",0.0271586270130372,0.0135026439427675,0.0134340825161268,0.00394299717086828,0.153892946500127,0.0511706704215314,0.0388297977800047,0.0183657784058145,0.161836683233513,0.0282590549907773,0.00244307516687916,0.00248014774023239,0.001816742061176,0.00250875469045417,0.00398607738194883,0.00177100054523926,0.00178202933561511,0.00156372121887985,0.00232442004314883,0.00209098130994916,0.00213754805836992,0.00197440623943239
"fa_IFOF",0.0046098466642902,0.00629384740993868,0.00685484746588424,0.00301957729215117,0.0361950771639212,0.0178166498407434,0.0132608749045715,0.00251119450891945,0.0618224295608372,0.00775426819424966,0.000766995985251335,0.00134040792451251,0.00135729134424497,0.00157568189615293,0.00177100054523926,0.00147340655726791,0.00138375982242057,0.00106923292879562,0.0017129844770353,0.00122358647067749,0.00120822664139925,0.00157679927382818
"fa_ILF",0.00627806583491876,0.00697565303265153,0.00683141564126881,0.00307324312401944,0.0640700139929082,0.026019393596246,0.0236314983059851,0.000933897641777214,0.0852067074348266,0.0131400159754365,0.00108309994572671,0.00133804326796461,0.00132108725122149,0.00166521028971551,0.00178202933561511,0.00138375982242057,0.00165495093152094,0.00114259989033001,0.00185273391176061,0.00136465492549206,0.00122472456003018,0.00147576579279968
"fa_SLF",0.0151320285451858,0.00771476126130796,0.00788812715459406,0.00313881048346282,0.0918833524517034,0.0343731236942974,0.032158513353475,0.0127362336613948,0.101102632739549,0.0194149284056775,0.00163581207240413,0.00116561539838988,0.00105677748006764,0.00131758221617624,0.00156372121887985,0.00106923292879562,0.00114259989033001,0.00109318801463713,0.00145884573605058,0.0012324460115233,0.00105296327144638,0.00115670192704362
"fa_CST",0.00388603571760742,0.00854646259378115,0.00845391634096504,0.00257800278401177,0.0588922181113476,0.0300434328788459,0.016706996044204,-0.00255070962564963,0.101859449280148,0.0110442835745511,0.000747804425547038,0.00170738401996047,0.00170064513294871,0.00210738583328102,0.00232442004314883,0.0017129844770353,0.00185273391176061,0.00145884573605058,0.00296345956509723,0.00194285144452885,0.00158713475880207,0.00181603304681796
"fa_SLFT",0.023185475623603,0.0120762165917314,0.00998880957576381,0.00414687470151317,0.141751066328146,0.0593339287363771,0.0577056140549765,0.0168025682581856,0.220770331051065,0.0299132207335291,0.00304076736452858,0.00165959553990945,0.00121025262592961,0.00149512035191266,0.00209098130994916,0.00122358647067749,0.00136465492549206,0.0012324460115233,0.00194285144452885,0.0024339065679463,0.00141577188135518,0.00133099981490543
"fa_FMin",0.0245130439073701,0.0112071298656875,0.0121713029265373,0.00470946933148439,0.135173633940021,0.0407702773177737,0.048059408747511,0.0131394681407059,0.154356366215797,0.0264514912142564,0.00234055771676462,0.00155001896177901,0.00124830467987618,0.0015728584353601,0.00213754805836992,0.00120822664139925,0.00122472456003018,0.00105296327144638,0.00158713475880207,0.00141577188135518,0.00172421243214801,0.00135357894996094
"fa_FMaj",0.00151806686753996,0.00690530936422565,0.00726650036556278,0.00268249608677055,0.0136695723033515,0.0149551972752895,0.00553591837552904,0.00163021519973548,0.0783748558970836,0.00526330864593706,0.000712697105217772,0.0015044583768443,0.00151497044616531,0.00176536564046399,0.00197440623943239,0.00157679927382818,0.00147576579279968,0.00115670192704362,0.00181603304681796,0.00133099981490543,0.00135357894996094,0.00212183923912327
